#cdEstado,nomeUF,cdMunicipio,codMunicIbge,Municipio,MesEmissao,AnoEmissao,cdPrograma,cdSubPrograma,cdFonteRecurso,Atividade,QtdCusteio,VlCusteio,QtdInvestimento,VlInvestimento,QtdComercializacao,VlComercializacao,QtdIndustrializacao,VlIndustrializacao,AreaInvestimento,AreaCusteio,cnpjIF,nomeIF
6,CE,17945,2306108.0,IRAUï¿½UBA,7,2020,999,0,502,2,0,0.0,10,162831.85,0,0.0,0,0.0,4.64,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,43469,2307635.0,MADALENA,6,2020,1,1,502,2,1,10000.0,0,0.0,0,0.0,0,0.0,0.0,3.6,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,1559,2303709.0,CAUCAIA,9,2020,1,56,502,1,0,0.0,12,35442.0,0,0.0,0,0.0,0.2,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,22538,2301604.0,ASSARï¿½,2,2020,1,1,300,2,4,70102.75,0,0.0,0,0.0,0,0.0,0.0,150.89,0,BCO DO BRASIL S.A.
6,CE,35707,2301505.0,ARNEIROZ,7,2020,1,1,300,2,1,9862.99,0,0.0,0,0.0,0,0.0,0.0,0.0,0,BCO DO BRASIL S.A.
6,CE,31787,2307403.0,JUCï¿½S,10,2020,1,56,502,2,0,0.0,20,94320.0,0,0.0,0,0.0,15.6,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,43407,2304277.0,ERERï¿½,3,2020,1,56,502,2,0,0.0,6,23500.0,0,0.0,0,0.0,0.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,42343,2313757.0,UMIRIM,10,2020,1,54,502,2,0,0.0,12,48498.4,0,0.0,0,0.0,17.37,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,33101,2306900.0,JAGUARIBE,1,2020,1,1,502,2,2,30000.0,0,0.0,0,0.0,0,0.0,0.0,3.76,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,14151,2313302.0,TAUï¿½,1,2020,1,56,502,2,0,0.0,50,136667.9,0,0.0,0,0.0,10.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,12744,2304004.0,COREAï¿½,4,2020,1,1,300,2,1,19931.21,0,0.0,0,0.0,0,0.0,0.0,2.38,0,BCO DO BRASIL S.A.
6,CE,11178,2312007.0,SANTANA DO ACARAï¿½,3,2020,1,56,502,1,7,24960.0,1,3000.0,0,0.0,0,0.0,0.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,30214,2305605.0,INDEPENDï¿½NCIA,7,2020,999,0,502,1,0,0.0,1,4028.36,0,0.0,0,0.0,0.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,51059,2303659.0,CATUNDA,7,2020,1,1,300,2,1,12236.43,0,0.0,0,0.0,0,0.0,0.0,51.09,0,BCO DO BRASIL S.A.
6,CE,15693,2310407.0,PARAMOTI,9,2020,1,56,502,2,0,0.0,14,45500.0,0,0.0,0,0.0,0.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,43483,2310852.0,PINDORETAMA,8,2020,1,56,502,2,0,0.0,2,5000.0,0,0.0,0,0.0,0.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,4501,2306207.0,ITAIï¿½ABA,1,2020,1,56,502,1,5,24000.0,5,20000.0,0,0.0,0,0.0,0.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,9946,2313104.0,TABULEIRO DO NORTE,10,2020,1,2,300,2,0,0.0,7,124310.26,0,0.0,0,0.0,70.0,0.0,0,BCO DO BRASIL S.A.
6,CE,22181,2313807.0,URUBURETAMA,1,2020,1,56,502,2,0,0.0,2,10000.0,0,0.0,0,0.0,0.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,20626,2310605.0,PENAFORTE,3,2020,1,2,201,2,0,0.0,1,36720.0,0,0.0,0,0.0,0.0,0.0,0,BCO DO BRASIL S.A.
6,CE,44901,2308377.0,MIRAï¿½MA,1,2020,1,56,502,2,1,2000.0,6,23000.0,0,0.0,0,0.0,0.0,1.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,9582,2306405.0,ITAPIPOCA,3,2020,999,0,502,2,0,0.0,1,69300.0,0,0.0,0,0.0,0.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,24055,2307205.0,JATI,8,2020,1,2,502,2,0,0.0,2,20000.0,0,0.0,0,0.0,1.48,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,43407,2304277.0,ERERï¿½,11,2020,1,5,502,1,0,0.0,15,105555.79,0,0.0,0,0.0,2.53,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,2723,2305506.0,IGUATU,8,2020,1,2,502,2,0,0.0,2,30000.0,0,0.0,0,0.0,0.73,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,14852,2303204.0,CARIRIAï¿½U,4,2020,1,56,502,1,0,0.0,1,1500.0,0,0.0,0,0.0,0.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,39741,2302404.0,BOA VIAGEM,6,2020,1,2,300,2,0,0.0,1,21420.0,0,0.0,0,0.0,0.0,0.0,0,BCO DO BRASIL S.A.
6,CE,37602,2307809.0,MARCO,8,2020,1,56,502,1,1,5000.0,6,15000.0,0,0.0,0,0.0,82.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
